Company,Company Score,Job Title,Location,Salary
PepsiCo,3.9,2025 Summer Intern: R&D,"Plano, TX",$21.50 - $55.40 Per Hour (Employer est.)
ghSMART,4.8,Data Engineer Intern,Remote,$20.00 - $30.00 Per Hour (Employer est.)
PepsiCo,3.9,2025 Summer Intern: eCommerce Data Science,United States,$21.50 - $40.19 Per Hour (Employer est.)
U.S. Bank National Association,3.6,2025 Data Analytics Summer Intern,"Minneapolis, MN",$20.63 - $30.25 Per Hour (Employer est.)
Plymouth Rock Assurance,3.4,Fall 2024 Data Science/Predictive Modeler Intern,"Woodbridge, NJ",$77K - $130K (Glassdoor est.)
Brookfield Properties,3.8,Data Analyst Intern,"Charleston, SC",$36K - $50K (Glassdoor est.)
GE HEALTHCARE,4.2,Edison Engineering Program Intern – Software,"Waukesha, WI",$72K - $120K (Glassdoor est.)
InComm Payments,3.6,Data Analyst Intern,"Atlanta, GA",$50K - $67K (Glassdoor est.)
PepsiCo,3.9,2025 Summer Intern: Commerce Data & Technology,United States,$21.50 - $40.19 Per Hour (Employer est.)
Copart,3.5,Data & AI Intern,"Dallas, TX",$57K - $86K (Glassdoor est.)
20 Digits Inc,3.5,Data Analyst Intern,"Sewell, NJ",$60K - $93K (Glassdoor est.)
Copart,4.1,Data Engineering Intern,"Dallas, TX",$72K - $100K (Glassdoor est.)
Oshkosh Corporation,3.2,Data Engineer Intern - Advanced Analytics,"Oshkosh, WI",$18.00 - $21.00 Per Hour (Employer est.)
CALSTART,4.0,Data Research Intern,Remote,$121K - $204K (Glassdoor est.)
Nissan,3.5,"EV Strategy Data Science Intern- Fall 2024- Franklin, TN","Franklin, TN",$20.00 Per Hour (Employer est.)
American Crystal Sugar Company,3.7,Analytics & Data Intern,"Moorhead, MN",$57K - $106K (Glassdoor est.)
WSP,4.1,Data Science Intern - Fall 2024,"Kennesaw, GA",$22.00 - $28.00 Per Hour (Employer est.)
California Institute of Genetics,3.3,Research Intern,United States,$25.00 Per Hour (Employer est.)
BMW,3.8,"Intern, Commercial Credit and Data Analytics","Columbus, OH",$30.75 - $40.75 Per Hour (Employer est.)
Everytown for Gun Safety,5.0,Research Intern,United States,$49K - $68K (Glassdoor est.)
PRICE WATERHOUSE COOPERS,4.1,Digital Assurance & Transparency (DAT) Data Intern - Summer 2025,United States,$57K - $81K (Glassdoor est.)
Boston Bolts,3.7,"Academy Data Analyst - Part-time, Remote","Newton, MA",$85K - $155K (Glassdoor est.)
The University of Chicago,3.2,Temporary Data Engineer/Data Analyst Intern,"Chicago, IL",$22.86 Per Hour (Employer est.)
Belvedere Trading,3.8,Quantitative Trading Intern - Summer 2025,"Chicago, IL",$57K - $85K (Glassdoor est.)
Utah Transit Authority,3.8,Data Reporting and Analytics Intern,"Salt Lake City, UT",$21.00 - $28.00 Per Hour (Employer est.)
ARCO a Family of Construction Companies,3.3,Data Engineer Intern/Co-op,"Saint Louis, MO",$20.00 - $43.00 Per Hour (Employer est.)
Voya Financial,3.8,Summer 2025 Actuarial Intern,Remote,$24.00 - $34.00 Per Hour (Employer est.)
Hytrol Conveyor Company,4.0,"Data Engineer Intern - Jonesboro, AR","Jonesboro, AR",$52K - $97K (Glassdoor est.)
CCC Information Services Inc.,3.9,Data Science Fall Internship,"Chicago, IL",$18.00 - $24.00 Per Hour (Employer est.)
Cargill,4.1,"Software Engineering Intern Summer 2025 - Atlanta, GA","Atlanta, GA",$21.50 - $54.00 Per Hour (Employer est.)
IDEMIA,4.0,Data Analyst Internship (Fall 2024),"Exton, PA",$47K - $73K (Glassdoor est.)
First Solar,3.3,Manufacturing Engineering Data Science Intern (Fall 2024),"Perrysburg, OH",$30.00 - $40.00 Per Hour (Employer est.)
Cargill,3.9,"Trading Data & Analytics Intern Summer 2025 - Minneapolis, MN","Wayzata, MN",$33.00 Per Hour (Employer est.)
Hytrol Conveyor Company,5.0,"Data Scientist Intern - Jonesboro, AR","Jonesboro, AR",$42.50 Per Hour (Employer est.)
PepsiCo,4.1,"2025 Summer Intern: Technology Data & Analytics, Data Engineer & Data Science","Purchase, NY",$51K - $92K (Glassdoor est.)
Peak Nano,4.1,SOFTWARE ENGINEER INTERN,"Macedonia, OH",$55K - $84K (Glassdoor est.)
Bosch Group,4.0,Mechanical/Automation Engineer Intern,"Sunnyvale, CA",$1K (Employer est.)
"Milwaukee Bucks, Inc",4.1,Customer Data Intern,"Milwaukee, WI",$43K - $79K (Employer est.)
United Nations Development Programme (UNDP),3.8,SDG Impact Intern,Remote,$49K - $78K (Glassdoor est.)
The Cincinnati Insurance Companies,4.6,Student Opportunities - Data Science Intern (PhD candidate) - Fall 2024 (Hybrid),"Fairfield, OH",$18.00 Per Hour (Employer est.)
Medtronic,3.4,Software Engineering Intern – Summer 2025 (Graduate),"Minneapolis, MN",$16.00 - $18.00 Per Hour (Employer est.)
The David J. Joseph Company,4.3,IT Intern/Co-op (Spring/Summer 2025),"Cincinnati, OH",$27K - $40K (Glassdoor est.)
Physicians Mutual,3.6,Data Science Intern (12 Month Onsite Internship),"Omaha, NE",$86K - $147K (Glassdoor est.)
Greentree Capital,3.8,Diversity Outreach Intern (Remote),Remote,$21.50 - $40.19 Per Hour (Employer est.)
Premier Inc.,4.0,Data Analytics Management Consulting Intern,Remote,$36.00 - $38.00 Per Hour (Employer est.)
Kohler,3.7,Kohler Intern,"Kohler, WI",$24.05 - $63.00 Per Hour (Employer est.)
Leonardo DRS,3.3,Fall 2024- Pricing Analyst- Intern,"Melbourne, FL",$18.00 Per Hour (Employer est.)
Castleton Commodities International,3.8,Data Engineering Internship (Summer 2025),"Stamford, CT",$20.00 Per Hour (Employer est.)
SC2,4.3,Data Analytics Intern,"Peoria, IL",$19.15 - $20.45 Per Hour (Employer est.)
Master Center for Addiction Medicine,3.3,Billing Data Analytics Intern,"Glen Allen, VA",$54.00 - $56.00 Per Hour (Employer est.)
"AcreTrader, Inc",3.9,Data Entry Intern,"Fayetteville, AR",$16.00 - $20.50 Per Hour (Employer est.)
TikTok,3.6,Reporting and Documentation Analyst Intern (TikTok Global Security) - 2025 Summer (BS/MS),"Washington, DC",$36K - $69K (Employer est.)
PepsiCo,4.1,2025 Summer Intern: Supply Chain,"Purchase, NY",$15.00 Per Hour (Employer est.)
